rt,trial_index,subject,form_assignment,button_pressed,condition,topic,speaker,form,response,already_heard_by_speaker,Gender,Native_Speaker,Music_Ability,Age,Mobile
84.42,156,yas2e2mcsw,non_conventional,0,statement,back,25,nonconventional,Request,No,Male,Yes,4,19,No
,157,yas2e2mcsw,non_conventional,,statement,car,25,nonconventional,,No,Male,Yes,4,19,No
389.11,158,yas2e2mcsw,non_conventional,0,statement,car,25,nonconventional,Request,No,Male,Yes,4,19,No
,159,yas2e2mcsw,non_conventional,,statement,soup,25,nonconventional,,No,Male,Yes,4,19,No
206.64,160,yas2e2mcsw,non_conventional,1,statement,soup,25,nonconventional,Non-Request,No,Male,Yes,4,19,No
,161,yas2e2mcsw,non_conventional,,statement,office,25,nonconventional,,No,Male,Yes,4,19,No
137.875,162,yas2e2mcsw,non_conventional,1,statement,office,25,nonconventional,Non-Request,Yes,Male,Yes,4,19,No
,163,yas2e2mcsw,non_conventional,,request,soup,25,nonconventional,,No,Male,Yes,4,19,No
256.21,164,yas2e2mcsw,non_conventional,0,request,soup,25,nonconventional,Request,Yes,Male,Yes,4,19,No
,165,yas2e2mcsw,non_conventional,,request,car,25,nonconventional,,No,Male,Yes,4,19,No
96.745,166,yas2e2mcsw,non_conventional,1,request,car,25,nonconventional,Non-Request,Yes,Male,Yes,4,19,No
,167,yas2e2mcsw,non_conventional,,request,back,25,nonconventional,,No,Male,Yes,4,19,No
229.16,168,yas2e2mcsw,non_conventional,0,request,back,25,nonconventional,Request,Yes,Male,Yes,4,19,No
,169,yas2e2mcsw,non_conventional,,request,phone,25,nonconventional,,No,Male,Yes,4,19,No
244.325,170,yas2e2mcsw,non_conventional,1,request,phone,25,nonconventional,Non-Request,Yes,Male,Yes,4,19,No
,171,yas2e2mcsw,non_conventional,,statement,laptop,25,nonconventional,,No,Male,Yes,4,19,No
404.98,172,yas2e2mcsw,non_conventional,0,statement,laptop,25,nonconventional,Request,Yes,Male,Yes,4,19,No
,173,yas2e2mcsw,non_conventional,,statement,office,18,nonconventional,,No,Male,Yes,4,19,No
820.33,174,yas2e2mcsw,non_conventional,1,statement,office,18,nonconventional,Non-Request,No,Male,Yes,4,19,No
,175,yas2e2mcsw,non_conventional,,statement,back,18,nonconventional,,No,Male,Yes,4,19,No
532.82,176,yas2e2mcsw,non_conventional,1,statement,back,18,nonconventional,Non-Request,No,Male,Yes,4,19,No
,177,yas2e2mcsw,non_conventional,,request,laptop,18,nonconventional,,No,Male,Yes,4,19,No
824.52,178,yas2e2mcsw,non_conventional,1,request,laptop,18,nonconventional,Non-Request,No,Male,Yes,4,19,No
,179,yas2e2mcsw,non_conventional,,request,office,18,nonconventional,,No,Male,Yes,4,19,No
313.115,180,yas2e2mcsw,non_conventional,0,request,office,18,nonconventional,Request,Yes,Male,Yes,4,19,No
,181,yas2e2mcsw,non_conventional,,statement,phone,18,nonconventional,,No,Male,Yes,4,19,No
2051.985,182,yas2e2mcsw,non_conventional,1,statement,phone,18,nonconventional,Non-Request,No,Male,Yes,4,19,No
,183,yas2e2mcsw,non_conventional,,request,soup,18,nonconventional,,No,Male,Yes,4,19,No
2572.345,184,yas2e2mcsw,non_conventional,0,request,soup,18,nonconventional,Request,No,Male,Yes,4,19,No
,185,yas2e2mcsw,non_conventional,,request,back,18,nonconventional,,No,Male,Yes,4,19,No
562.785,186,yas2e2mcsw,non_conventional,0,request,back,18,nonconventional,Request,Yes,Male,Yes,4,19,No
,187,yas2e2mcsw,non_conventional,,statement,car,18,nonconventional,,No,Male,Yes,4,19,No
513.01,188,yas2e2mcsw,non_conventional,0,statement,car,18,nonconventional,Request,No,Male,Yes,4,19,No
,189,yas2e2mcsw,non_conventional,,statement,laptop,18,nonconventional,,No,Male,Yes,4,19,No
646.45,190,yas2e2mcsw,non_conventional,1,statement,laptop,18,nonconventional,Non-Request,Yes,Male,Yes,4,19,No
,191,yas2e2mcsw,non_conventional,,request,car,18,nonconventional,,No,Male,Yes,4,19,No
659.88,192,yas2e2mcsw,non_conventional,0,request,car,18,nonconventional,Request,Yes,Male,Yes,4,19,No
,193,yas2e2mcsw,non_conventional,,request,phone,18,nonconventional,,No,Male,Yes,4,19,No
432.195,194,yas2e2mcsw,non_conventional,1,request,phone,18,nonconventional,Non-Request,Yes,Male,Yes,4,19,No
,195,yas2e2mcsw,non_conventional,,statement,soup,18,nonconventional,,No,Male,Yes,4,19,No
559.22,196,yas2e2mcsw,non_conventional,0,statement,soup,18,nonconventional,Request,Yes,Male,Yes,4,19,No
,197,yas2e2mcsw,non_conventional,,request,car,5,nonconventional,,No,Male,Yes,4,19,No
276.945,198,yas2e2mcsw,non_conventional,1,request,car,5,nonconventional,Non-Request,No,Male,Yes,4,19,No
,199,yas2e2mcsw,non_conventional,,statement,phone,5,nonconventional,,No,Male,Yes,4,19,No
303.105,200,yas2e2mcsw,non_conventional,0,statement,phone,5,nonconventional,Request,No,Male,Yes,4,19,No
,201,yas2e2mcsw,non_conventional,,request,laptop,5,nonconventional,,No,Male,Yes,4,19,No
333.13,202,yas2e2mcsw,non_conventional,1,request,laptop,5,nonconventional,Non-Request,No,Male,Yes,4,19,No
,203,yas2e2mcsw,non_conventional,,request,soup,5,nonconventional,,No,Male,Yes,4,19,No
229.255,204,yas2e2mcsw,non_conventional,0,request,soup,5,nonconventional,Request,No,Male,Yes,4,19,No
,205,yas2e2mcsw,non_conventional,,statement,soup,5,nonconventional,,No,Male,Yes,4,19,No
426.62,206,yas2e2mcsw,non_conventional,0,statement,soup,5,nonconventional,Request,Yes,Male,Yes,4,19,No
,207,yas2e2mcsw,non_conventional,,request,back,5,nonconventional,,No,Male,Yes,4,19,No
494.8,208,yas2e2mcsw,non_conventional,1,request,back,5,nonconventional,Non-Request,No,Male,Yes,4,19,No
,209,yas2e2mcsw,non_conventional,,request,phone,5,nonconventional,,No,Male,Yes,4,19,No
260.62,210,yas2e2mcsw,non_conventional,0,request,phone,5,nonconventional,Request,Yes,Male,Yes,4,19,No
,211,yas2e2mcsw,non_conventional,,statement,laptop,5,nonconventional,,No,Male,Yes,4,19,No
262.95,212,yas2e2mcsw,non_conventional,1,statement,laptop,5,nonconventional,Non-Request,Yes,Male,Yes,4,19,No
,213,yas2e2mcsw,non_conventional,,statement,back,5,nonconventional,,No,Male,Yes,4,19,No
178.73,214,yas2e2mcsw,non_conventional,0,statement,back,5,nonconventional,Request,Yes,Male,Yes,4,19,No
,215,yas2e2mcsw,non_conventional,,statement,car,5,nonconventional,,No,Male,Yes,4,19,No
163.335,216,yas2e2mcsw,non_conventional,0,statement,car,5,nonconventional,Request,Yes,Male,Yes,4,19,No
,217,yas2e2mcsw,non_conventional,,request,office,5,nonconventional,,No,Male,Yes,4,19,No
328.785,218,yas2e2mcsw,non_conventional,0,request,office,5,nonconventional,Request,No,Male,Yes,4,19,No
,219,yas2e2mcsw,non_conventional,,statement,office,5,nonconventional,,No,Male,Yes,4,19,No
264.27,220,yas2e2mcsw,non_conventional,0,statement,office,5,nonconventional,Request,Yes,Male,Yes,4,19,No
9641.93,221,yas2e2mcsw,non_conventional,,,,,,,No,Male,Yes,4,19,No
7063.08,222,yas2e2mcsw,non_conventional,,,,,,,No,Male,Yes,4,19,No
2261.185,223,yas2e2mcsw,non_conventional,,,,,,,No,Male,Yes,4,19,No
3175.05,0,j6jk395wtj,conventional,,,,,,,No,Female,Yes,5,21,No
3681.48,1,j6jk395wtj,conventional,,,,,,,No,Female,Yes,5,21,No
1945.025,2,j6jk395wtj,conventional,,,,,,,No,Female,Yes,5,21,No
3258.84,3,j6jk395wtj,conventional,2,,,,,,No,Female,Yes,5,21,No
11503.775,4,j6jk395wtj,conventional,,,,,,,No,Female,Yes,5,21,No
,5,j6jk395wtj,conventional,,question,box,4,conventional,,No,Female,Yes,5,21,No
1010.645,6,j6jk395wtj,conventional,0,question,box,4,conventional,Request,No,Female,Yes,5,21,No
,7,j6jk395wtj,conventional,,request,door,4,conventional,,No,Female,Yes,5,21,No
1005.225,8,j6jk395wtj,conventional,1,request,door,4,conventional,Non-Request,No,Female,Yes,5,21,No
